Date,^BSESN,ADANIPORTS.BO,RELIANCE.BO,BAJFINANCE.BO,HDFCBANK.BO,TATAMOTORS.BO,TCS.BO,ITC.BO,ICICIBANK.BO,SBIN.BO,TECHM.BO,FEDERALBNK.BO,DLF.BO,BHARATFORG.BO,VOLTAS.BO,GAIL.BO,ACC.BO,NAUKRI.BO,TATAPOWER.BO,BANKBARODA.BO,AMBUJACEM.BO
28-03-2018,33098.08984,365.2999878,895.0499878,1772,944.9249878,331.25,1419.5,257.7000122,283,252.3999939,620,90.55000305,205,698,622.9000244,161,1505,1184.849976,80,142,230
02-04-2018,33030.87109,354.2000122,890.5,1769.75,946,335,1422.5,258.5,272,251,635.6500244,89.5,205,700.1500244,629,164.5749969,1500,1182.75,78.09999847,141,233.3000031
03-04-2018,33197.42188,370.5,890,1825,962.5,339.3500061,1450,258.5,260.5,249.8000031,637.9500122,90.19999695,200.5,720,640.7999878,162.625,1538.25,1239,81.90000153,144.8000031,238.1499939
04-04-2018,33437.51953,372,905.5,1839,958.75,349.8500061,1461.5,259.0499878,267.7999878,251,618.5499878,92.09999847,204.8999939,726.2000122,653,164.7749939,1552.5,1242.900024,84.34999847,146,238.8000031
05-04-2018,33289.96094,371.1000061,902.5499878,1862,954.9749756,364.7999878,1457.775024,257,268.8999939,251.1999969,613,92.59999847,203.3000031,720.5,626.1500244,166.2749939,1542.050049,1230.050049,83.30000305,143,237.1499939
06-04-2018,33608.58984,379.7000122,909.9000244,1917,955.5,363.5,1470.5,260.1000061,278.1499939,260,615,93.65000153,205,730,632.7999878,165.5,1556.75,1209.199951,83.94999695,148,236.5
09-04-2018,33653.60938,379.2999878,912.9500122,1950,961.25,363.8999939,1475,262,278.5499878,261.2000122,617,97.5,203,733.5,633.0499878,167.5,1547.400024,1200,84,151.8999939,239
10-04-2018,33880.10938,378,918,1941,975,360.9500122,1469.5,266,280,260.6499939,618,101.0999985,206.5,728.7000122,636.5499878,166.8999939,1544.25,1215,85.09999847,154.25,238
11-04-2018,33970.35156,387.6000061,920.0999756,1935,961,354.1000061,1475,266.5,289.7999878,263.25,629,97.30000305,213.5,735,638.0999756,165.5249939,1534.099976,1210.050049,87.15000153,153,235.0500031
12-04-2018,33987.55078,378.8999939,930,1925,962.4500122,359.2999878,1507.75,264.1000061,284.2000122,257,631.9500122,98.80000305,213.0500031,737.9500122,637,163,1532,1235.699951,86.09999847,149.5500031,238
13-04-2018,34167.53125,374,931.1500244,1949,963.5,359,1574.5,262.2000122,287.5,254.0500031,654.5,99.5,211,735,639,163.0500031,1520.150024,1239.849976,87.09999847,149.1000061,236.3500061
16-04-2018,33944.73047,383.7000122,935,1901.099976,961.9500122,351.5,1566,261.4500122,285.7000122,249,658,98.80000305,208,733.2999878,633,164,1533,1246,87,149,237.8500061
17-04-2018,34381.80078,390.8999939,938.25,1951,970,341.3999939,1595,265,288,251.5,670,99,215.5,738,647.4500122,161.0249939,1577.199951,1225.900024,87.65000153,150.6000061,242
18-04-2018,34443.42188,387.7000122,945,1950,974.5,338,1586.474976,268.8500061,293,249,674,100.9000015,218,739,642,163,1600,1240,87.90000153,148.1499939,245.1000061
19-04-2018,34403.67188,385.9500122,938.2000122,1932.900024,969,336,1587.5,277.7999878,290.2000122,247.8999939,663.8499756,99.84999847,214,738.0499878,644,165.75,1605,1222,87.30000305,142.1000061,245.6000061
20-04-2018,34434.14063,386.4500122,939,1908.150024,971,336,1625.099976,276.7000122,288.8999939,245.5,666,98.90000153,214,750,636.5499878,169.25,1575,1213.050049,86.90000153,144.1000061,245
23-04-2018,34493.69141,385.75,927.2999878,1894,992,337,1714.5,276.25,280,242.5,693,96.55000305,209.5,765,634,166.5,1578.5,1205,86,143.1499939,244
24-04-2018,34491.37891,388.9500122,937.7000122,1904.550049,969.3499756,334,1706.474976,276.5,279,242,698,97.15000153,210.1499939,756.0999756,656,166.2749939,1574.099976,1217,84.59999847,143,245.6000061
25-04-2018,34593.17188,391.1499939,972.5499878,1925.449951,967.5,330.5499878,1692.5,275.1000061,282.7999878,240.5,688,97,215,753,639,168.5500031,1563.400024,1239.949951,84.5,140.3999939,245.0500031
26-04-2018,34532.94922,391,972,1899,960,328.25,1735.5,274.2000122,280,238.1000061,684,96,220.3000031,765,637.75,163.8000031,1569.150024,1216,85.94999695,136.6999969,244.1000061
27-04-2018,34747.03906,399,988.25,1901.550049,963,332.1499939,1770,280,276.1499939,232,695,97.5,217.1499939,773.7999878,637,162.75,1545,1222.150024,85.94999695,137.3999939,241.8000031
30-04-2018,35021.19922,406.8999939,984.7000122,1920.599976,964.5,338.9500122,1727.5,280,289,245,680,98.5,226,774.5,636.9500122,165.9750061,1565.349976,1209,88,144.3000031,244.3000031
02-05-2018,35328.91016,407.1000061,968.7999878,1910,974.1749878,349.75,1766.5,281.5,284.6499939,246.3999939,672.0999756,99.5,222.5,763,643.5999756,162.9750061,1585,1238,88.55000305,146,249.3500061
03-05-2018,35257.30859,399.8999939,977,1900,982.5,335,1751,289,278,240.0500031,658,98.30000305,211.0500031,765.75,632,162,1555,1221,88.40000153,145.3000031,243.3000031
04-05-2018,35144.96094,404,963.9500122,1899,983.5,335.7000122,1741,286.5,280.5,243,652,98,214,746,615,160.5,1538,1223.550049,85.09999847,142,243.1999969
07-05-2018,34983.58984,409.8999939,958,1861.599976,992.25,337.5,1741.125,278,284.3500061,242,670,100.5500031,213.8000031,732.0499878,615.75,165,1550,1201,85,142.6999969,237.6999969
08-05-2018,35349.85156,414,973.5499878,1890,989.5,339.2000122,1716,283,302.5,247.5,651,102.4499969,217.6000061,743.4000244,628,171.9499969,1528.400024,1215.650024,85.44999695,143.1999969,234.8500061
09-05-2018,35198.07813,413,967.6500244,1852.550049,982.5,332.1000061,1724.5,282,306.7999878,249.9499969,655,104,222.3999939,737.7000122,621.2000122,170.75,1520,1200.150024,84.25,144.8000031,228.8500061
10-05-2018,35353.96094,415,977.0999756,1839,995,343.1000061,1745.5,281.6000061,309.2000122,247.3000031,656,93.09999847,223,731.5499878,624.9500122,171.6750031,1512.349976,1221.300049,82.80000305,144.3000031,225
11-05-2018,35287.98828,413.5,982.7999878,1835,995,335.3999939,1727.5,281,307,247.1499939,665,89.94999695,213.5,726,595.5999756,170.6750031,1500,1214.900024,81.34999847,139.5,218.6000061
14-05-2018,35555.82813,415.7000122,993.9000244,1860,1008.5,332.5,1732,282.0499878,310.3999939,250,669,89.15000153,212.1000061,729.9500122,615.9000244,171.3249969,1472.900024,1221,81.44999695,141,216.3999939
15-05-2018,35537.85156,404.1000061,980,1861,1010.674988,323.9500122,1727,284.4500122,309.7000122,253.8000031,664.7000122,89.05000305,207,739,596,171.1750031,1443.25,1200,81,142,216.5500031
16-05-2018,35452.35156,408.7999878,976.2999878,1882.050049,1017.5,310.7000122,1740,281.7999878,305,245.75,670,86.09999847,203.3000031,723.0999756,597,168,1409.400024,1185,81.90000153,139,213
17-05-2018,35483.62109,405,959.9000244,1930,1013.924988,312,1757.925049,288,298.25,245,678,84.75,207,732.25,595,169,1418,1186.699951,81.19999695,132.4499969,211.75
18-05-2018,35143.58984,397,946,2078.800049,1014,315,1744.925049,279.6000061,295.8999939,242.8999939,678,83.5,206,726.2999878,557,165,1404.900024,1170,81.09999847,133,220
21-05-2018,34873.16016,397.7999878,932,2144.199951,1002.375,304.2000122,1760,284,287.5,242.6999969,690.75,82.94999695,197.25,722.75,551,163,1373.699951,1197.5,80.15000153,127.1999969,211.6499939
22-05-2018,34601.48828,383.7999878,933,2105.800049,999.5,296,1779,281.5,288.5499878,244.3000031,685.4500122,81.05000305,194,696,549,161,1347,1182.349976,78.94999695,129.6999969,210
23-05-2018,34656.62891,380.7000122,927,2157,992.5,310.5,1764,279,289.3999939,254.1999969,685.2999878,82.34999847,197.1499939,682,550.1500244,163.9499969,1320,1174.800049,78.55000305,131,207
24-05-2018,34404.14063,379.7999878,916.7000122,2081,983.5,301.5,1750,274.1000061,293,264.7000122,706,82.69999695,197,678.9000244,541.25,165,1314.050049,1174.800049,77.84999847,138.8000031,209.3500061
