Date,ACC.BO,ADANIPORTS.BO,AMBUJACEM.BO,BAJFINANCE.BO,BANKBARODA.BO,BHARATFORG.BO,DLF.BO,FEDERALBNK.BO,GAIL.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,NAUKRI.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TATAPOWER.BO,TCS.BO,TECHM.BO,VOLTAS.BO,^BSESN
2020-09-17,1389.0,351.75,218.5,3493.449951171875,45.849998474121094,479.3500061035156,163.0,53.20000076293945,91.5,1088.0,369.5,180.8000030517578,3510.199951171875,2319.0,197.0,150.89999389648438,57.5,2487.0,785.0,686.0,39120.640625
2020-09-18,1414.0,348.6499938964844,222.0,3494.949951171875,45.900001525878906,484.0,156.89999389648438,53.0,91.0999984741211,1090.0,370.8500061035156,180.8000030517578,3513.39990234375,2315.800048828125,195.75,149.89999389648438,57.0,2480.0,794.7999877929688,699.0,39200.421875
2020-09-21,1431.800048828125,358.70001220703125,220.0,3470.0,45.099998474121094,480.54998779296875,163.39999389648438,51.900001525878906,91.9000015258789,1052.0,366.25,180.1999969482422,3468.0,2305.0,193.0,148.0,56.0,2460.0,805.0,678.0,38812.69140625
2020-09-22,1371.6500244140625,353.8999938964844,209.3000030517578,3300.0,42.29999923706055,460.0,152.0,49.75,88.80000305175781,1050.0,353.25,175.6999969482422,3400.0,2287.0,186.0,138.0,53.0,2484.800048828125,790.0,665.3499755859375,38200.7109375
2020-09-23,1363.0,340.0,206.8000030517578,3339.5,42.400001525878906,455.0,152.4499969482422,49.45000076293945,84.25,1040.0,356.6499938964844,175.0,3437.89990234375,2275.0,188.8000030517578,135.9499969482422,52.0,2510.0,807.2000122070312,660.7999877929688,38124.94140625
2020-09-24,1334.949951171875,323.8999938964844,205.5500030517578,3205.0,41.0,435.1000061035156,147.0,46.79999923706055,83.05000305175781,1036.5,345.54998779296875,171.60000610351562,3404.699951171875,2210.0,181.14999389648438,127.80000305175781,52.79999923706055,2450.0,786.25,667.0,37282.1796875
2020-09-25,1318.0,318.0,200.0,3089.5,40.150001525878906,436.04998779296875,147.3000030517578,46.29999923706055,84.5,1053.0,338.1000061035156,169.0,3449.0,2196.0,179.0500030517578,125.0,50.650001525878906,2370.0,753.0,653.9000244140625,36991.890625
2020-09-28,1353.0,326.3500061035156,201.5,3195.0,42.0,455.0,153.89999389648438,48.900001525878906,86.8499984741211,1050.0,351.8999938964844,171.1999969482422,3470.25,2229.0,184.25,129.25,53.5,2435.0,784.0,674.7999877929688,37756.25
2020-09-29,1380.0,341.3500061035156,210.35000610351562,3359.449951171875,43.599998474121094,459.0,158.0,50.79999923706055,88.3499984741211,1058.9000244140625,364.3999938964844,174.8000030517578,3600.0,2222.0,188.60000610351562,135.1999969482422,54.150001525878906,2439.0,779.0,700.0,38176.859375
2020-09-30,1384.9000244140625,340.70001220703125,218.39999389648438,3300.0,41.599998474121094,442.0,155.0,49.5,88.8499984741211,1055.0999755859375,357.04998779296875,170.8000030517578,3657.89990234375,2264.800048828125,185.0,133.0,54.0,2495.0,780.0,672.25,38068.890625
2020-10-01,1414.0,349.8999938964844,218.1999969482422,3400.0,41.29999923706055,447.79998779296875,153.0,49.20000076293945,86.80000305175781,1085.0,357.5,174.10000610351562,3664.0,2264.0,187.6999969482422,135.6999969482422,53.5,2509.800048828125,797.9000244140625,687.1500244140625,38410.19921875
2020-10-05,1416.0,354.54998779296875,223.0,3460.0,42.0,460.0,156.89999389648438,51.099998474121094,88.0999984741211,1111.0,370.95001220703125,171.6999969482422,3749.0,2246.0,191.8000030517578,137.0,54.45000076293945,2610.0,822.0,678.5499877929688,38956.78125
2020-10-06,1420.0,357.0,221.39999389648438,3440.0,42.0,466.0,160.1999969482422,51.0,88.0,1131.699951171875,376.5,169.5,3551.0,2228.0,190.5500030517578,137.8000030517578,54.400001525878906,2736.0,855.0,672.0,39336.33984375
