Date,ADANIPORTS.BO,BAJFINANCE.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TCS.BO,TECHM.BO
30-10-2018,323.7999878,2430,964.5,348.8999939,283,1087.449951,267.2000122,177.6999969,1866.949951,661.9000244
31-10-2018,324.7999878,2380,953.0499878,344.1499939,280.8999939,1064.699951,275,178.3999939,1904.400024,694
01-11-2018,324,2378,962.5,356.1000061,281.1000061,1066.400024,282.5,179.1999969,1940.099976,744
02-11-2018,322.3999939,2437.399902,962.5,356.5,278.5,1067.800049,287.1000061,181.5,1935.800049,722.1500244
05-11-2018,335,2399,977.5,351.6000061,286.3999939,1074,286,191.3999939,1914,691.2000122
06-11-2018,330.8500061,2366.050049,978.5,349.7999878,281.5,1094.300049,297.7999878,192,1891,696
07-11-2018,327.2999878,2360,980,356.8500061,280.1000061,1116.800049,289.8999939,196.5,1948,695
09-11-2018,327,2358.949951,979,357.0499878,279.75,1106,287.1000061,192.8999939,1955,700.0499878
12-11-2018,338.3999939,2375,975,357.7999878,278.4500122,1098.5,284,194.3999939,1910,706
13-11-2018,328.6000061,2267,969.8499756,348,274.9500122,1075.900024,276.5,181,1925,722
14-11-2018,338.5,2298,969.875,363.6000061,278.5,1105,280.0499878,180.1000061,1935.900024,721.3499756
15-11-2018,331.4500122,2293,985,365,277,1096,283.7000122,178,1869,700
16-11-2018,345.5499878,2351,991.4500122,371,277,1096.099976,286.0499878,180.8000031,1889.900024,715.4500122
19-11-2018,346.6499939,2414,1005,370,277.5,1132,292,180.6499939,1896,730
20-11-2018,349.7999878,2360,1009.849976,362.5499878,284.4500122,1146,286.5,184.3000031,1903,732
21-11-2018,355,2410,1010,356,283.1000061,1137,284,184.8500061,1873,714
22-11-2018,360,2436,1006.5,359.1499939,284,1114.699951,286.5,185,1822.449951,696
26-11-2018,368.1000061,2391,1008.5,355.8999939,281.25,1109.949951,283.5,184.4499969,1822.900024,691
27-11-2018,369,2392.699951,1020.5,356.5,286.8999939,1109.5,285,182.3000031,1865,698.9000244
28-11-2018,368,2450,1033.800049,357.7000122,286.2999878,1132.300049,289.5,181.3000031,1897,700.5499878
29-11-2018,368.5,2434.449951,1048.5,362.3999939,284.7999878,1159,288.75,177,2000,705.5999756
30-11-2018,368.5,2536,1067.5,363.5499878,289.8999939,1172,289.6499939,173.5,1960.25,690
03-12-2018,366,2549,1061.125,359.7999878,287.25,1172.050049,287.3999939,173.6999969,1980.099976,706
04-12-2018,374.7999878,2508,1057,352.3500061,282.8500061,1157,287.5499878,177.8000031,1983,715.5
05-12-2018,373,2531,1040.875,355.7999878,281.8500061,1144.699951,282,173.75,2009.400024,713.3499756
06-12-2018,373.8999939,2484,1043,349.3999939,275.25,1147.5,277.1000061,168.9499969,2000,721
07-12-2018,364.1000061,2449,1050,349.8999939,275,1132.800049,276.5499878,162.6000061,1991.75,710.9500122
10-12-2018,361.1000061,2415.100098,1035,347,273.5,1112.650024,261.1000061,160.5500031,1979,690
11-12-2018,348.5,2335,1030,338,269.8999939,1066.099976,269,155.1999969,1973.5,687
12-12-2018,356,2449.899902,1032.5,344.3999939,276.9500122,1100,283.5,159.8999939,1998.349976,700.9000244
13-12-2018,375.5,2506.600098,1045,352.1499939,279.2999878,1125.599976,289.6000061,166.6999969,2020,704.25
14-12-2018,372,2488.899902,1055.849976,349.8999939,275,1103.900024,290,166.8000031,1995,709.75
17-12-2018,369.6000061,2488,1054.5,352,275.75,1114.699951,289.6000061,167.3999939,1990.150024,714
18-12-2018,370,2470,1064.5,358,280.1499939,1122,288.2999878,174,1999.5,714.9500122
19-12-2018,374,2550,1069.5,364.6499939,280,1138.650024,294.5,176,1985,711
20-12-2018,375.5499878,2570,1059,363.7999878,280.5499878,1124,299.3999939,173.6000061,1965,708.9500122
21-12-2018,374.8999939,2614.399902,1067,362.8500061,282.3500061,1128.300049,294,177.3000031,1949.900024,709.9500122
24-12-2018,361,2597,1055,353.7000122,278,1101.800049,292.5,176.5,1901,695
26-12-2018,360.9500122,2555,1042.449951,351.75,276,1087,293,172,1916,697
27-12-2018,378.5,2630,1069.900024,357.2999878,284,1105,295.2000122,173,1909.900024,696.7999878
28-12-2018,384.1000061,2590.149902,1057.050049,357.3500061,279.75,1123.300049,294.7000122,169.8999939,1909.449951,708.9500122
31-12-2018,387,2665,1068.5,361.6000061,283.5,1127.150024,296.5,172.6000061,1901,716
01-01-2019,387.2000122,2641.050049,1061.5,362,283.75,1126,297,173.6999969,1905,715
02-01-2019,387,2646.800049,1072.5,362.6499939,282.8999939,1116,299.3500061,171,1907.900024,719
03-01-2019,386,2615,1063,365,280.6499939,1108.050049,294.75,169.3000031,1913.5,711
04-01-2019,380.5,2587.949951,1055.574951,361.5,279.5,1098,293.7999878,168.1000061,1901,695.3499756
07-01-2019,383.1000061,2590,1062.525024,368.2999878,283.3500061,1105.150024,301,173,1891.099976,682.5
08-01-2019,385.6499939,2545.050049,1062.5,367.8999939,281.75,1106.349976,295,176.3000031,1902,691.4000244
09-01-2019,384,2550,1060,382.1000061,284.2000122,1111.900024,306,181.8999939,1915,695
10-01-2019,378.8999939,2539.949951,1058,380.1000061,290.7000122,1108.400024,305.1499939,183.6499939,1904,694.75
11-01-2019,381.3999939,2537.050049,1057,380.7999878,292,1109.300049,305.5,186.3000031,1875,695
14-01-2019,376.5,2515,1057.275024,378.3999939,295.3999939,1096.699951,301.6000061,180.5500031,1854.699951,699.4500122
15-01-2019,376.75,2558,1052.5,374.8999939,295.1000061,1103.199951,301.2999878,183.1999969,1813.550049,685
16-01-2019,384.7999878,2594,1060,372.5,297,1134.699951,303,185.5,1869.949951,706.4500122
17-01-2019,390.9500122,2587.949951,1060.5,376,295.9500122,1141,303.2999878,186.3000031,1871,702
18-01-2019,395.6000061,2549,1063,374.2000122,294,1149.699951,298.0499878,185.5,1887,705.0499878
21-01-2019,397.0499878,2544.949951,1074.5,372,291,1193.900024,295.1499939,183.3000031,1900.400024,711.6500244
22-01-2019,396,2587.949951,1086.5,369.1000061,290,1234,292.3500061,181.3999939,1908,717
23-01-2019,391,2637,1068.050049,369.7000122,292,1233.400024,290.0499878,182,1900,713.25
24-01-2019,386.25,2633.5,1056,365,279.4500122,1225.050049,285.5,179.6999969,1882,720.5
